# arXiv:1910.11026 — Table 4 (Tab. 4 in paper)
# Free energy difference Delta_F * 1e3, low density region, all volumes including 16^4 and infinite-volume extrapolation
# Parameters: lambda=1.0, m=1.0
# Definition: Delta_F = F - F_pq = -(1/V) * log(<e^{i phi}>_pq)   [per unit volume]
# Infinite-volume extrapolation ansatz: Delta_F(V) = Delta_F(inf) + a/V + b/V^2
# Columns: mu, dF_4^4, err_4^4, dF_6^4, err_6^4, dF_8^4, err_8^4, dF_10^4, err_10^4, dF_16^4, err_16^4, dF_inf, err_inf
# Values are Delta_F * 1e3 (multiply by 1e-3 to get Delta_F)
mu,dF_4x4,err_4x4,dF_6x6,err_6x6,dF_8x8,err_8x8,dF_10x10,err_10x10,dF_16x16,err_16x16,dF_inf,err_inf
0.1,0.1448,0.0001,0.1541,0.0001,0.1547,0.0001,0.15473,0.00005,0.15471,0.00001,0.15470,0.00001
0.2,0.5840,0.0004,0.6233,0.0003,0.6255,0.0002,0.62575,0.00009,0.6257,0.0001,0.6257,0.0001
0.3,1.337,0.001,1.428,0.001,1.433,0.001,1.4344,0.0003,1.4343,0.0004,1.4344,0.0004
0.4,2.423,0.002,2.599,0.002,2.616,0.002,2.6167,0.0005,2.617,0.001,2.617,0.001
0.5,3.883,0.003,4.194,0.004,4.225,0.006,4.227,0.001,4.227,0.003,4.227,0.003
0.6,5.761,0.004,6.277,0.001,6.333,0.002,6.340,0.001,6.343,0.002,6.343,0.002
0.7,8.10,0.02,8.938,0.005,9.06,0.01,9.068,0.003,9.069,0.005,9.068,0.005
0.8,11.00,0.02,12.28,0.01,12.48,0.01,12.523,0.003,12.541,0.006,12.546,0.006
0.9,14.55,0.04,16.52,0.02,16.82,0.02,16.90,0.04,16.967,0.001,16.97,0.01
